Gene	Cluster_00	Cluster_01	Cluster_02	Cluster_03	Cluster_04	Cluster_05	Cluster_06	Cluster_07	Cluster_08	Cluster_09	Cluster_10	Cluster_11	Cluster_12	Cluster_13	Cluster_14	Cluster_15	Cluster_16	Cluster_17	Cluster_18	Cluster_19	Cluster_20	Cluster_21	Cluster_22	Cluster_23	Cluster_24	Cluster_25	Cluster_26	Cluster_27	Cluster_28	Cluster_29	Cluster_30	Cluster_31	Total_Up_Regulated
PSMD2	0	1	0	1	0	1	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	0	0	0	1	1	1	1	0	1	0	18
NRG2	0	1	0	1	0	1	0	1	1	1	0	0	1	0	1	0	1	1	0	1	0	1	1	1	1	1	1	1	0	0	0	0	18
ZNF318	0	0	0	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	0	0	0	1	0	18
YKT6	0	1	0	1	0	1	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	0	0	0	1	1	1	1	0	1	0	18
CCDC25	0	0	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	1	0	18
PBX3	0	1	0	0	0	1	0	1	1	1	0	0	1	1	1	0	1	1	0	0	1	0	0	1	1	1	1	1	0	0	1	1	18
OPTN	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1	0	18
SEPHS1	0	1	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	0	0	0	1	1	1	0	0	1	0	18
BLOC1S2	0	1	0	1	0	1	0	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	0	0	0	1	1	1	0	0	1	0	18
MADD	0	1	0	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	18
CLP1	0	1	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	0	0	0	1	1	1	0	0	1	0	18
ZFP91	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	1	0	18
INCENP	0	1	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	0	1	0	1	1	0	0	0	1	0	18
PPP1R14B	0	1	0	1	0	1	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	0	0	0	1	1	1	1	1	0	1	0	18
SNX15	0	1	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	0	1	0	1	1	0	0	0	1	0	18
PELI3	0	1	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	18
NDRG2	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1	0	0	1	0	0	0	1	0	18
CCDC85C	0	0	0	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	0	1	0	1	0	18
ZBTB42	0	1	0	1	0	0	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	0	0	1	1	1	1	1	0	0	1	0	18
RGMA	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	18
ADCY9	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	18
PSMD3	0	1	0	1	0	1	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	1	0	18
CUEDC1	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	1	0	18
IMPA2	0	1	0	1	1	1	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	0	0	0	1	1	1	0	0	1	0	18
ZBTB7A	0	1	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	0	0	0	1	1	1	0	0	1	0	18
TRIP10	0	1	0	0	1	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	1	0	0	1	0	18
ARHGAP35	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	1	1	0	18
CA11	0	1	0	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	1	0	18
RP5.1085F17.3	1	1	0	1	0	0	0	1	1	1	1	0	1	0	1	0	1	0	0	0	1	0	0	1	1	1	1	1	1	0	1	0	18
TFIP11	0	1	0	1	0	0	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	1	0	18
MICALL1	0	0	0	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	0	0	0	1	0	18
PEF1	1	1	0	1	0	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	1	1	1	0	1	0	17
PTP4A2	0	0	0	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	17
