Genes	BaseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MTND1P23	301.820245898357	-2.24252090056577e-05	5.68450208353333e-06	-3.94497331096391	7.98088670971676e-05	0.00127694187355468
MTND2P28	301.820245898357	-1.36128310880092e-05	3.06525709260707e-06	-4.44100794052192	8.95384904426141e-06	9.55077231387884e-05
MTCO1P12	301.820245898357	-7.50824866369986e-06	3.08376089898833e-06	-2.43477004529211	0.0149012561939719	0.39370006857684
MTCO2P12	301.820245898357	-3.57105945560841e-06	2.21578172796e-05	-0.161164766842634	0.871963630300071	0.935415247953113
MTATP6P1	301.820245898357	-1.47778402653529e-05	1.76672173067454e-06	-8.36455453554119	6.03424722658974e-17	1.93095911250872e-15
MTCO3P12	301.820245898357	-5.40370047096953e-05	1.88901798996763e-05	-2.86058708793035	0.00422857396110285	0.051840340333416
LINC01128	301.820245898357	-0.000368985825461502	5.68659774630115e-05	-6.48869221849759	8.65846400918732e-11	2.77070848293994e-09
KLHL17	301.820245898357	0.00757541484101997	0.00076864817453112	9.85550358672356	6.48905770828283e-23	2.07649846665051e-21
PERM1	301.820245898357	-7.45263307505492e-05	8.3475961338907e-06	-8.92787930263865	4.34253062575739e-19	1.38960980024237e-17
HES4	301.820245898357	0.00216168388790384	0.000476682047402872	4.53485483600955	5.764311714331e-06	6.14859916195306e-05
ISG15	301.820245898357	0.00106188289293214	0.00025496826259749	4.16476498727412	3.11673444207646e-05	0.000997355021464466
AGRN	301.820245898357	0.0022249769329982	0.000246658189280888	9.02048676950458	1.87255382291419e-19	5.99217223332541e-18
C1orf159	301.820245898357	0.00980412518734885	0.000769873700887955	12.7347189234299	3.7920927955969e-37	1.21346969459101e-35
SDF4	301.820245898357	0.000348314366584321	5.539752392075e-05	6.28754395381658	3.22527712171665e-10	1.03208867894933e-08
B3GALT6	301.820245898357	0.00191188429730552	0.000240258499464095	7.95761357691837	1.75389103090474e-15	5.61245129889517e-14
UBE2J2	301.820245898357	0.000215125144059637	0.000117174043591934	1.83594538060685	0.0663657351006754	0.117983529067867
SCNN1D	301.820245898357	0.00516003919081008	0.000450897246390628	11.4439359124845	2.52179694772368e-30	8.06975023271579e-29
ACAP3	301.820245898357	0.000466285388110469	6.5481517716936e-05	7.12087019922371	1.07247758307397e-12	3.43192826583671e-11
CPTP	301.820245898357	-0.000271143761949176	6.02947448272146e-05	-4.49697171330913	6.89281541385798e-06	2.45077881381617e-05
DVL1	301.820245898357	-0.000115334099200922	1.7244776396882e-05	-6.68805999837579	2.261484247376e-11	7.23674959160318e-10
MXRA8	301.820245898357	0.000770125540084563	5.68574579128099e-05	13.5448465048427	8.49913716045723e-42	2.71972389134631e-40
AURKAIP1	301.820245898357	-0.000226639313811727	4.43053062429177e-05	-5.11539887726103	3.130786416572e-07	1.00185165330304e-05
CCNL2	301.820245898357	0.000455709218723565	2.51379720651324e-05	18.1283206753045	1.90488133720401e-73	6.09562027905284e-72
RP4.758J18.2	301.820245898357	0.00459689316888871	0.000506553802560466	9.07483695839	1.13847820528593e-19	3.64313025691497e-18
ATAD3B	301.820245898357	0.00400678781819631	0.000238449845056388	16.8034825824642	2.30126530123075e-63	7.3640489639384e-62
ATAD3A	301.820245898357	-5.56893698025498e-06	0.00012980422844571	-0.0429025852773675	0.965779187896518	0.996933355248018
SSU72	301.820245898357	-5.53311952097342e-05	2.77403911450787e-05	-1.99460760738229	0.0460856932358475	0.073737109177356
RP11.345P4.9	301.820245898357	-0.00177863566308638	0.000218301518478292	-8.14761012880104	3.71186801527272e-16	1.18779776488727e-14
CDK11B	301.820245898357	0.000130597362845116	4.67434795205832e-05	2.79391616081143	0.00520739773720621	0.00925759597725548
SLC35E2B	301.820245898357	0.00046793751032615	8.2640133453202e-05	5.66235182317484	1.49312294589805e-08	4.77799342687377e-07
CDK11A	301.820245898357	0.00123387969573155	0.000151142559397122	8.16368136581289	3.24965425866748e-16	1.0398893627736e-14
RP1.283E3.4	301.820245898357	0.0023127501963834	0.000745539496273428	3.10211626338197	0.00192142479370652	0.0614855933986085
NADK	301.820245898357	0.0013115635023172	0.000108816797297286	12.0529507841884	1.87128800218505e-33	5.98812160699215e-32
GNB1	301.820245898357	0.00065923117572503	5.19526025609006e-05	12.6890885774636	6.79721581188767e-37	2.17510905980405e-35
CALML6	301.820245898357	-0.000160361883496797	6.41273706136305e-05	-2.50067766637404	0.0123955940862102	0.0360599100689751
TMEM52	301.820245898357	-0.000132787743480006	2.81472290286455e-05	-4.71761335173943	2.38627452494428e-06	9.54509809977713e-06
FAAP20	301.820245898357	0.00371204544589297	0.000303790775220829	12.2190854649706	2.45834621421917e-34	7.86670788550135e-33
SKI	301.820245898357	0.000491620697507319	5.15806367120988e-05	9.53110951792504	1.55611090525265e-21	4.97955489680849e-20
RER1	301.820245898357	0.000457456700342479	6.6657639544212e-05	6.86277977243797	6.75332996270936e-12	2.16106558806699e-10
PEX10	301.820245898357	0.0009149089033053	0.000306674205479283	2.9833252583974	0.00285134801455259	0.0179483378326341
PANK4	301.820245898357	-0.000562902932238286	0.000108814543748193	-5.17304868309606	2.30304976704409e-07	7.36975925454109e-06
TNFRSF14	301.820245898357	0.00329763615250882	0.000219714292138398	15.0087466792175	6.43521828746843e-51	2.0592698519899e-49
MEGF6	301.820245898357	0.002353749075663	0.000130891914847082	17.9823870589167	2.67714646450724e-72	8.56686868642316e-71
TPRG1L	301.820245898357	-0.000118830432509813	6.41579751957156e-05	-1.85215372129992	0.0640037521072736	0.292588581061822
WRAP73	301.820245898357	0.00221013126782595	0.000284319029478108	7.77342013259837	7.63948293153582e-15	2.44463453809146e-13
TP73.AS1	301.820245898357	0.001769170131518	0.00014630383559115	12.0924384816676	1.15797945610179e-33	3.70553425952572e-32
LRRC47	301.820245898357	-1.55160297532592e-05	3.46796315137347e-05	-0.447410456109205	0.654578727615753	0.897593866101757
C1orf174	301.820245898357	0.000905893022511698	0.000313798922492612	2.88685829548387	0.00389109433070623	0.0138350020647333
NPHP4	301.820245898357	0.00266765865003617	0.000212671035215194	12.5435917840757	4.31008235296108e-36	1.37922635294755e-34
KCNAB2	301.820245898357	0.000212645731785173	3.91024876996187e-05	5.43816376642571	5.38324835090234e-08	1.72263947228875e-06
RPL22	301.820245898357	0.00017937861117433	2.12042491903099e-05	8.45955966487621	2.68389003707577e-17	8.58844811864245e-16
RNF207	301.820245898357	0.00180953427933647	0.000393499528596031	4.59856784528489	4.25405182169564e-06	6.80648291471303e-05
ICMT	301.820245898357	-7.55957652536632e-06	1.51163985324196e-05	-0.500091110270318	0.61701092537912	0.705155343290423
GPR153	301.820245898357	0.00253812998102054	0.000338340378873374	7.5017057954246	6.29926331354431e-14	2.01576426033418e-12
ACOT7	301.820245898357	0.00933450233540932	0.000804641038416325	11.6008280584113	4.08110133517891e-31	1.30595242725725e-29
NOL9	301.820245898357	0.00130431126223604	0.000168836811445751	7.72527774640622	1.11609716405593e-14	3.57151092497898e-13
ZBTB48	301.820245898357	0.00344037512578154	0.000286445389765221	12.0105794985961	3.12646473975544e-33	1.00046871672174e-31
