Genes	BaseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MTND1P23	334.965717012387	-2.63983845844147e-06	4.71820363398637e-06	-0.559500747154292	0.575820021453143	0.686429528458691
MTND2P28	334.965717012387	-3.51152352036483e-06	2.53489091431821e-06	-1.38527598979907	0.165968092552766	0.295054386760473
MTCO1P12	334.965717012387	1.2358266103737e-06	2.54376269381816e-06	0.485826218529347	0.627090383488545	0.93468564127206
MTCO2P12	334.965717012387	1.73110346178092e-05	1.82685990863001e-05	0.947584132534331	0.3433412071714	0.639228468903131
MTATP6P1	334.965717012387	5.50024570747612e-07	1.50365015009856e-06	0.365792914469872	0.714519607454143	0.788435428914916
MTCO3P12	334.965717012387	3.84473407798659e-07	1.54636261411033e-05	0.0248630821962712	0.980164174264183	0.999999989912813
LINC01128	334.965717012387	8.25327971923605e-05	4.77719741533422e-05	1.72764049749002	0.084052697498823	0.224140526663528
KLHL17	334.965717012387	-0.00512870400387334	0.00065364005943297	-7.84637344339401	4.28240484306453e-15	6.85184774890324e-14
PERM1	334.965717012387	4.35549974026239e-05	7.10075214956968e-06	6.13385687673431	8.57736916031001e-10	6.861895328248e-09
HES4	334.965717012387	0.00035788111151576	0.000398563694780223	0.897927021960954	0.369224457390171	0.472607305459419
ISG15	334.965717012387	-0.000303385687248648	0.000211484790058579	-1.43455085902212	0.151415126394104	0.440480367691939
AGRN	334.965717012387	-0.000202255016260147	0.000213438611652189	-0.947602754227686	0.343331723522086	0.457775631362781
C1orf159	334.965717012387	-0.00381957592308833	0.000714167632875129	-5.34829043947471	8.87889022586987e-08	2.36770406023197e-07
SDF4	334.965717012387	-0.000249720346276989	4.5884925443404e-05	-5.44231779530736	5.25917427753806e-08	5.66709567459514e-07
B3GALT6	334.965717012387	-0.00123217080351214	0.000198235131438361	-6.21570351618161	5.10952005850684e-10	5.45015472907396e-09
UBE2J2	334.965717012387	-0.000462059737188425	9.52461468487622e-05	-4.85121710930851	1.22706134586479e-06	1.30886543558911e-05
SCNN1D	334.965717012387	-0.00114336452173506	0.000420973904785734	-2.71599856603228	0.00660762042403125	0.00961108425313636
ACAP3	334.965717012387	-0.000329876954617818	5.53181223420673e-05	-5.96327099784729	2.47237868134855e-09	1.97790294507884e-08
CPTP	334.965717012387	0.000174950813985099	5.14906149685555e-05	3.39772236342367	0.000679493411382856	0.00159665560628563
DVL1	334.965717012387	-1.94499605912309e-05	1.46423496914878e-05	-1.32833602536743	0.184067123566831	0.392676530275906
MXRA8	334.965717012387	-7.45990022478851e-05	5.34750402518518e-05	-1.39502470491926	0.163008389806757	0.226794281470271
AURKAIP1	334.965717012387	-4.53532999292178e-05	3.69858941062344e-05	-1.22623235223001	0.22011124991052	0.450804502082312
