Genes	BaseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MTND1P23	326.427122578652	-5.14081842546844e-06	3.58435072132276e-06	-1.43423978989737	0.151503845816426	0.285183709772097
MTND2P28	326.427122578652	-9.73137628299185e-07	1.92895592667905e-06	-0.504489301616429	0.613917578250126	0.854146195826262
MTCO1P12	326.427122578652	-1.10564528591327e-06	1.93522173616152e-06	-0.571327442872929	0.56777770258215	0.908444324131439
MTCO2P12	326.427122578652	9.62817007471856e-06	1.38977526871878e-05	0.692786113800591	0.488443787895535	0.651258383860714
MTATP6P1	326.427122578652	3.43960929743778e-08	1.14324488911734e-06	0.0300863737085533	0.975998168017929	0.999999931389064
MTCO3P12	326.427122578652	1.19596292680932e-05	1.17369420213561e-05	1.01897319134165	0.308215694048986	0.616431388097972
LINC01128	326.427122578652	3.4830561595122e-05	3.63765174934934e-05	0.957501267166439	0.338314307120242	0.601447657102652
KLHL17	326.427122578652	-0.00325521416699028	0.000502123362879188	-6.48289724725176	8.99777802750579e-11	5.75857793760371e-10
PERM1	326.427122578652	2.09440480564468e-05	5.45594341411618e-06	3.83875829838305	0.000123658083461919	0.000263803911385428
HES4	326.427122578652	0.000473953497994127	0.000302627996929364	1.5661257477931	0.117319181389886	0.208567433582019
ISG15	326.427122578652	-8.98671878819749e-05	0.00016071730534567	-0.559163107474265	0.576050408759433	0.801461438273994
AGRN	326.427122578652	-0.00015948348794754	0.000162290377303626	-0.982704523812677	0.325752883598704	0.453221403267762
C1orf159	326.427122578652	-0.00333369040730392	0.000540988222554768	-6.16222362764362	7.17304527474008e-10	2.55041609768536e-09
SDF4	326.427122578652	-0.00012563205481805	3.52412286292841e-05	-3.56491699366164	0.00036397135933824	0.000970590291568639
B3GALT6	326.427122578652	-0.000594553268167422	0.000152625334004599	-3.89550838361806	9.79929723762923e-05	0.000313577511604135
UBE2J2	326.427122578652	-0.000238578206024586	7.30899330440171e-05	-3.26417327377912	0.00109784002549145	0.00319371643779331
SCNN1D	326.427122578652	-0.00125703505510847	0.000318956259681104	-3.94108915236612	8.11124698860079e-05	0.000144199946464014
ACAP3	326.427122578652	-0.000183250494350308	4.24132121164892e-05	-4.32059929455483	1.55606016376318e-05	5.53265836004687e-05
CPTP	326.427122578652	7.95778372009342e-05	3.92698617268878e-05	2.0264353807604	0.0427201883585632	0.0546818410989608
DVL1	326.427122578652	-7.34622087847063e-06	1.1143138501628e-05	-0.659259586282387	0.509729089336768	0.815566542938829
MXRA8	326.427122578652	-0.000155136741148027	4.04535016654744e-05	-3.83493973972666	0.00012559508291427	0.000365367513932422
AURKAIP1	326.427122578652	-2.82852031965934e-05	2.81284168726056e-05	-1.00557394768067	0.314620561269073	0.558400148740264
CCNL2	326.427122578652	-0.00014229750259511	1.92064632724594e-05	-7.40883423337776	1.27414446134422e-13	3.39771856358458e-13
RP4.758J18.2	326.427122578652	-0.00108422342826368	0.0003306616580435	-3.27895116318881	0.00104193665649113	0.00240003060614458
ATAD3B	326.427122578652	-0.00104385809597998	0.000175637555987122	-5.94325108951366	2.79423918712296e-09	6.38683242770963e-09
ATAD3A	326.427122578652	-0.000237671386358558	8.10082281105348e-05	-2.93391661442414	0.00334714117443731	0.00892570979849949
SSU72	326.427122578652	-5.81784157013838e-05	1.72950241043091e-05	-3.3638817356079	0.000768544688943153	0.00204945250384841
RP11.345P4.9	326.427122578652	0.000374126836951769	0.00014009877209373	2.67045050688573	0.00757495379631714	0.0142587365577734
CDK11B	326.427122578652	-0.000133521331419443	2.90295785728597e-05	-4.5994925859611	4.23521264571573e-06	1.35526804662903e-05
SLC35E2B	326.427122578652	-0.000156277218442528	5.27241445866624e-05	-2.96405412866692	0.00303614875971834	0.00747359694699899
CDK11A	326.427122578652	-0.00053380537820438	9.64254126525646e-05	-5.53594082223699	3.09562083622457e-08	1.65099777931977e-07
RP1.283E3.4	326.427122578652	-0.000379920424664964	0.000470602628634232	-0.80730621026822	0.419490086952356	0.745760154581966
NADK	326.427122578652	-0.000420223160041707	7.4559899440516e-05	-5.63604783797974	1.73997063500214e-08	4.28300464000528e-08
GNB1	326.427122578652	-0.000169469736108975	3.58455561987517e-05	-4.72777532504509	2.26993153859074e-06	5.58752378730029e-06
CALML6	326.427122578652	0.000112271633157664	4.00559828237473e-05	2.80286801728664	0.00506503923621084	0.0162081255558747
TMEM52	326.427122578652	4.55341265185867e-05	1.77641535730717e-05	2.56325899972013	0.0103694662630283	0.0195189953186415
FAAP20	326.427122578652	-0.000940973603082198	0.000206786722101973	-4.55045465935755	5.35301215306315e-06	1.42746990748351e-05
SKI	326.427122578652	-6.00633449456165e-05	3.4163516550221e-05	-1.75811365487865	0.0787281728447745	0.148194207707811
RER1	326.427122578652	-0.000159308134332098	4.23290294724284e-05	-3.76356690237525	0.000167506886695754	0.000446685031188678
PEX10	326.427122578652	4.12905381268265e-05	0.000193337115126995	0.213567571336236	0.830884290238709	0.949582045987096
PANK4	326.427122578652	6.95713248242316e-05	6.93116569065584e-05	1.00374638162269	0.31550087465376	0.740036134015511
TNFRSF14	326.427122578652	-0.00115731851313623	0.000159673011782572	-7.24805338244737	4.22803985005564e-13	1.50330305779756e-12
MEGF6	326.427122578652	-0.000203223372440422	9.09583893233777e-05	-2.23424550447916	0.0254669238431907	0.054930234213568
TPRG1L	326.427122578652	-5.40619660265787e-05	4.0314246531487e-05	-1.34101392628916	0.179915931129059	0.403428337324977
WRAP73	326.427122578652	-0.000644566723958229	0.000181439979386806	-3.55250659825141	0.000381579448671783	0.00101754519645809
TP73.AS1	326.427122578652	-0.00025546353014018	0.000101533211116659	-2.51605880805502	0.0118675379080121	0.0210978451697992
LRRC47	326.427122578652	-1.99242388385514e-05	2.17706779305882e-05	-0.915186881275638	0.360093530440521	0.56325993044261
C1orf174	326.427122578652	-0.000604241668917435	0.000196449555804337	-3.07581081791428	0.00209930997164791	0.00839723988659163
NPHP4	326.427122578652	-7.84071198376541e-05	0.00013917072199703	-0.563388036740425	0.573170681687642	0.705440839000175
KCNAB2	326.427122578652	-3.91324591484554e-05	2.4808031228403e-05	-1.57741091133633	0.114701006386343	0.203912900242388
RPL22	326.427122578652	-3.52840756291027e-05	1.37533230175975e-05	-2.56549457785267	0.0103028831626709	0.0274743551004557
RNF207	326.427122578652	0.000136956652757175	0.000249457896505226	0.549017107399148	0.582993709676911	0.690955507765228
ICMT	326.427122578652	-3.55560810832809e-06	9.49802846786321e-06	-0.374352226923574	0.708142280574662	0.755351765946306
GPR153	326.427122578652	-0.000415439512611919	0.000216082682997342	-1.92259512353903	0.0545309169107671	0.233008920279692
ACOT7	326.427122578652	-0.0030468475372805	0.000528535251711873	-5.76470070333449	8.1802878377381e-09	2.01360931390476e-08
NOL9	326.427122578652	-0.000431419540383318	0.000108987059569645	-3.95844737977934	7.54385561122091e-05	0.000201169482965891
ZBTB48	326.427122578652	-0.000882824796732563	0.000192635574279757	-4.58287520377971	4.58625774496053e-06	1.04828748456241e-05
PHF13	326.427122578652	-0.000191354450602791	0.000115920144149276	-1.65074372540785	0.0987909153308222	0.174493361441965
THAP3	326.427122578652	-0.000574226575313192	0.000197911499557439	-2.90143107700792	0.00371462484609947	0.0120774634564464
DNAJC11	326.427122578652	-9.73246150463468e-06	7.26421504720391e-05	-0.133978157879299	0.893419846187506	0.934577795644062
CAMTA1	326.427122578652	6.11904340404226e-05	0.000103243016901453	0.592683513877064	0.553392976599352	0.68651265973548
VAMP3	326.427122578652	-3.07053869864919e-05	4.16873097829137e-05	-0.736564368062846	0.461387310289187	0.90291243046581
PER3	326.427122578652	-5.08456520274036e-05	5.98608397765662e-05	-0.849397573057574	0.395660103162656	0.549806436515159
PARK7	326.427122578652	-1.09781486742398e-05	1.32836628765272e-05	-0.826439874022895	0.408554612162971	0.817109224325943
ERRFI1	326.427122578652	-8.57851123621492e-06	1.94328181910793e-06	-4.41444527081149	1.01269330651694e-05	2.70051548404518e-05
