Genes	BaseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MTND1P23	520.380668026846	-9.36198517950155e-06	4.4898010403374e-06	-2.08516704757991	0.0370541399223965	0.0912101905782068
MTND2P28	520.380668026846	-4.49356680358785e-06	2.41572908080013e-06	-1.86012862092115	0.0628673307489702	0.12573466149794
MTCO1P12	520.380668026846	-5.6949244216138e-07	2.42654183039781e-06	-0.234693024874835	0.814447001894951	0.999999987037374
MTCO2P12	520.380668026846	-1.39107986581828e-05	1.74527030416876e-05	-0.797056973063447	0.425417943672658	0.64825591416786
MTATP6P1	520.380668026846	-2.45105744762761e-06	1.43168230980883e-06	-1.71201210690023	0.0868944373446841	0.139031099751495
MTCO3P12	520.380668026846	-2.40280593793715e-05	1.47535345782423e-05	-1.62863070215098	0.10339122073183	0.405121495629077
LINC01128	520.380668026846	9.3899347681753e-06	4.56550484019813e-05	0.205671335303366	0.837047650959708	0.923638787265884
NOC2L	NA	NA	NA	NA	NA	NA
KLHL17	520.380668026846	-0.00031354039511409	0.000643975734363026	-0.486882313080044	0.626341733647063	0.691135706093311
PERM1	520.380668026846	-3.67810204670639e-06	6.91388781433959e-06	-0.531987522140279	0.594734637692311	0.679696728791213
HES4	520.380668026846	0.00133644166275875	0.000377975363264294	3.53579040500653	0.000406557116258506	0.00216830462004536
ISG15	520.380668026846	0.000168599213283075	0.000201151015085967	0.838172321482047	0.401933929702717	0.676941355288786
AGRN	520.380668026846	0.000305168494017419	0.000203282591811307	1.50120328208274	0.133302991329558	0.236983095696991
C1orf159	520.380668026846	8.371800755265e-05	0.000691224203978351	0.121115561449975	0.903599503658258	0.932747874744009
SDF4	520.380668026846	1.26220923065608e-06	4.45945230885211e-05	0.0283041311631603	0.977419585729591	0.999999908035575
B3GALT6	520.380668026846	8.15503409281265e-06	0.000193400639094018	0.0421665312535407	0.966365943009328	0.997539037945112
UBE2J2	520.380668026846	-3.92171717701872e-05	9.23907842699343e-05	-0.424470601479127	0.671222641054158	0.767111589776181
SCNN1D	520.380668026846	0.00023548073543886	0.000401709684076461	0.58619631234491	0.557743599534549	0.615441213279503
ACAP3	520.380668026846	-2.2370154635842e-05	5.37316341237405e-05	-0.416331179958625	0.677167679705179	0.747219508640198
PUSL1	NA	NA	NA	NA	NA	NA
INTS11	NA	NA	NA	NA	NA	NA
