Gene	Cluster_00	Cluster_01	Cluster_02	Cluster_03	Cluster_04	Cluster_05	Cluster_06	Cluster_07	Cluster_08	Cluster_09	Cluster_10	Cluster_11	Cluster_12	Cluster_13	Cluster_14	Cluster_15	Cluster_16	Cluster_17	Cluster_18	Cluster_19	Cluster_20	Cluster_21	Cluster_22	Cluster_23	Cluster_24	Cluster_25	Cluster_26	Cluster_27	Cluster_28	Cluster_29	Cluster_30	Cluster_31	Total_Up_Regulated
BCL2L11	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	1	16
GLS	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	1	0	0	16
IKZF2	0	1	0	1	0	1	0	0	1	1	0	0	0	1	1	1	1	1	0	1	0	1	0	1	1	0	1	0	0	0	1	0	16
SEMA3F	0	0	0	1	1	1	0	1	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	1	16
ADAMTS9	0	0	0	0	1	1	0	1	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	1	16
DZIP3	0	1	0	1	0	0	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	0	0	1	1	1	1	0	0	0	1	0	16
KALRN	0	1	0	1	0	1	0	0	1	1	0	0	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	0	0	0	0	16
MCM2	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	16
RP11.689P11.2	0	0	0	1	1	1	0	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	16
ENAM	0	0	0	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	16
FAM47E	0	0	0	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	16
MEF2C.AS1	0	1	0	1	0	0	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	0	0	0	0	0	16
HLA.DRB1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	16
HSD17B8	0	0	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	1	0	1	1	1	1	0	0	0	0	0	16
PM20D2	0	0	0	1	1	1	0	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	0	1	16
ANGPT2	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	16
APBA1	0	1	0	1	0	0	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	0	0	0	0	16
POLL	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	1	0	0	16
TPCN2	0	0	0	1	1	1	0	1	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	1	0	16
SCARB1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	1	0	0	16
GALNT16	0	0	0	1	1	1	0	1	1	1	0	1	0	0	1	1	1	1	0	1	0	1	1	1	0	0	1	0	0	0	0	0	16
C14orf159	0	1	0	1	0	0	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	0	0	1	1	1	1	0	0	0	1	0	16
RASL12	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	16
NPTN.IT1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	16
ZNF213.AS1	0	0	0	1	1	1	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	0	1	1	0	1	0	0	0	0	0	16
PRMT7	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	16
HILS1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	16
AC005329.7	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	16
JUNB	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	16
ACTN4	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	16
ZNF780B	0	0	0	1	1	1	0	1	1	0	0	1	0	0	1	1	1	1	1	1	0	1	0	1	0	0	1	0	0	0	1	0	16
C19orf48	0	0	0	1	1	1	0	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	16
PPDPF	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	16
CLDN5	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	16
PATZ1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	1	0	16
USP11	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	16
MAGED1	0	0	0	1	1	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	1	0	1	1	0	1	0	0	0	0	0	16
CXorf57	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	16
ALG13	0	0	0	1	1	1	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	1	0	1	16
KLHL13	0	1	0	1	0	0	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	0	0	0	0	16
ALDH4A1	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	1	1	0	0	1	1	1	1	1	0	0	1	0	15
SRSF10	0	0	0	1	1	1	0	1	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	15
SLC9A1	0	0	0	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	1	1	1	1	0	0	0	0	0	15
CYP2J2	0	1	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	15
FUBP1	0	0	0	1	1	1	0	1	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	15
DDAH1	0	1	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	15
CDC42SE1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	1	0	1	15
TAGLN2	0	0	0	1	1	1	0	1	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	15
LYPLAL1	0	0	0	1	1	0	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	1	0	1	1	0	1	0	0	0	0	0	15
SMYD3	0	0	0	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	15
FAHD2A	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	1	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	15
PGAP1	0	0	0	1	1	1	0	0	1	0	0	1	0	0	1	1	1	1	0	1	0	1	0	1	1	0	1	0	0	0	0	1	15
CLK1	0	0	0	1	1	1	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	1	0	0	15
CNOT9	0	0	0	1	1	1	0	1	1	0	0	1	0	0	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	15
OBSL1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	15
SCN5A	0	0	0	0	1	1	0	0	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	0	0	0	1	0	0	1	0	1	15
AMT	0	0	0	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	15
MAGI1	0	0	0	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	0	0	0	0	15
ZIC1	0	0	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	1	0	1	1	0	1	0	0	0	0	0	15
TM4SF1	0	0	0	1	1	1	0	1	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	15
